time;H_sun;temp;wind_speed
20180119:0310;0.0;6.81;2.14
20180119:0410;0.0;7.04;2.07
20180119:0510;0.0;7.31;2.0
20180119:0610;0.0;7.44;2.14
20180119:0710;4.71;8.07;2.9
20180119:0810;13.28;8.49;3.24
20180119:0910;20.22;9.13;4.14
20180119:1010;24.95;9.76;4.34
20180119:1110;26.96;10.43;4.28
20180119:1210;25.97;11.01;4.34
20180119:1310;22.11;10.96;3.03
20180119:1410;15.87;10.79;2.97
20180119:1510;7.79;10.44;2.55
20180119:1610;0.0;9.76;2.21
20180119:1710;0.0;9.29;2.0
20180119:1810;0.0;9.24;2.21
20180119:1910;0.0;8.98;1.86
20180119:2010;0.0;8.85;1.72
20180119:2110;0.0;8.58;1.72
20180119:2210;0.0;8.26;1.38
20180119:2310;0.0;7.3;1.03
20180120:0010;0.0;6.25;0.97
20180120:0110;0.0;5.45;1.03
20180120:0210;0.0;4.87;1.03
20180120:0310;0.0;5.73;0.69
20180120:0410;0.0;5.26;0.41
20180120:0510;0.0;4.98;0.48
20180120:0610;0.0;4.98;0.48
20180120:0710;4.82;3.99;0.69
20180120:0810;13.42;4.78;0.9
20180120:0910;20.38;5.92;0.76
20180120:1010;25.14;7.88;0.48
20180120:1110;27.17;9.13;0.21
20180120:1210;26.19;10.12;0.41
20180120:1310;22.34;10.6;0.69
20180120:1410;16.09;10.57;0.83
20180120:1510;8.01;10.06;0.69
20180120:1610;0.0;9.09;1.03
20180120:1710;0.0;7.06;1.31
20180120:1810;0.0;5.91;1.59
20180120:1910;0.0;5.31;1.52
20180120:2010;0.0;4.06;1.66
20180120:2110;0.0;3.54;1.72
20180120:2210;0.0;3.48;1.79
20180120:2310;0.0;4.78;1.86
20180121:0010;0.0;5.82;2.28
20180121:0110;0.0;6.28;2.55
20180121:0210;0.0;6.56;2.41
20180121:0310;0.0;6.75;2.28
20180121:0410;0.0;6.91;2.21
20180121:0510;0.0;7.0;1.93
20180121:0610;0.0;7.18;1.72
20180121:0710;4.94;7.31;1.66
20180121:0810;13.56;7.83;1.31
20180121:0910;20.55;8.49;0.9
20180121:1010;25.33;9.4;0.62
20180121:1110;27.38;10.51;0.41
20180121:1210;26.42;11.16;1.79
20180121:1310;22.57;11.46;2.48
20180121:1410;16.31;11.28;2.41
20180121:1510;8.22;10.67;2.21
20180121:1610;0.0;9.39;2.07
20180121:1710;0.0;8.11;1.93
20180121:1810;0.0;6.96;1.86
20180121:1910;0.0;6.58;1.93
20180121:2010;0.0;5.55;2.07
20180121:2110;0.0;4.46;1.93
20180121:2210;0.0;3.52;1.79
20180121:2310;0.0;2.78;1.72
20180122:0010;0.0;2.17;1.66
20180122:0110;0.0;1.6;1.59
20180122:0210;0.0;1.02;1.66
20180122:0310;0.0;0.62;1.52
20180122:0410;0.0;0.32;1.31
20180122:0510;0.0;0.02;1.24
20180122:0610;0.0;-0.17;1.24
20180122:0710;5.07;1.1;0.83
20180122:0810;13.71;2.3;0.76
20180122:0910;20.72;5.66;0.69
20180122:1010;25.54;8.0;0.41
20180122:1110;27.61;9.4;0.34
20180122:1210;26.65;10.32;0.62
20180122:1310;22.8;10.68;0.76
20180122:1410;16.54;10.74;0.97
20180122:1510;8.44;10.25;0.69
20180122:1610;0.0;9.28;0.83
20180122:1710;0.0;7.42;1.24
20180122:1810;0.0;6.38;1.38
20180122:1910;0.0;5.89;1.24
20180122:2010;0.0;5.21;1.31
20180122:2110;0.0;5.87;0.97
20180122:2210;0.0;4.76;1.17
20180122:2310;0.0;4.59;1.17
20180123:0010;0.0;4.86;1.03
20180123:0110;0.0;4.95;0.97
20180123:0210;0.0;4.74;0.9
20180123:0310;0.0;4.54;0.97
20180123:0410;0.0;4.27;1.17
20180123:0510;0.0;4.19;1.1
20180123:0610;0.0;3.74;1.17
20180123:0710;5.2;2.69;1.38
20180123:0810;13.86;4.71;1.1
20180123:0910;20.91;8.3;1.45
20180123:1010;25.75;10.12;1.66
20180123:1110;27.83;11.37;1.72
20180123:1210;26.89;12.2;2.0
20180123:1310;23.04;12.75;2.21
20180123:1410;16.77;12.91;1.93
20180123:1510;8.66;12.13;1.45
20180123:1610;0.0;10.42;1.38
20180123:1710;0.0;8.17;1.24
20180123:1810;0.0;6.25;1.31
20180123:1910;0.0;5.96;1.17
20180123:2010;0.0;4.82;1.31
20180123:2110;0.0;3.88;1.31
20180123:2210;0.0;3.01;1.31
20180123:2310;0.0;2.36;1.31
20180124:0010;0.0;1.9;1.31
20180124:0110;0.0;1.63;1.24
20180124:0210;0.0;1.26;1.31
20180124:0310;0.0;1.04;1.24
20180124:0410;0.0;0.8;1.24
20180124:0510;0.0;0.62;1.17
20180124:0610;0.0;0.57;1.03
20180124:0710;5.34;2.13;1.03
20180124:0810;14.03;4.0;0.48
20180124:0910;21.09;7.48;0.34
20180124:1010;25.96;9.24;0.48
20180124:1110;28.07;10.74;0.83
20180124:1210;27.14;11.6;1.03
20180124:1310;23.29;12.0;1.17
20180124:1410;17.01;12.04;1.24
20180124:1510;8.88;11.36;0.9
20180124:1610;0.0;10.39;0.69
20180124:1710;0.0;9.74;0.34
20180124:1810;0.0;8.81;0.14
20180124:1910;0.0;7.89;0.28
20180124:2010;0.0;6.98;0.28
20180124:2110;0.0;6.09;0.41
20180124:2210;0.0;5.06;0.69
20180124:2310;0.0;4.42;0.76
20180125:0010;0.0;4.0;0.76
20180125:0110;0.0;3.72;0.76
20180125:0210;0.0;3.46;0.83
20180125:0310;0.0;3.17;0.76
20180125:0410;0.0;3.01;0.83
20180125:0510;0.0;2.81;0.9
20180125:0610;0.0;2.65;0.9
20180125:0710;5.49;2.63;0.9
20180125:0810;14.19;3.89;0.62
20180125:0910;21.29;7.01;0.41
20180125:1010;26.18;9.27;0.62
20180125:1110;28.31;10.48;0.83
20180125:1210;27.39;11.05;0.97
20180125:1310;23.54;11.38;1.17
20180125:1410;17.24;11.36;1.17
20180125:1510;9.11;10.85;0.97
20180125:1610;0.0;10.07;0.83
20180125:1710;0.0;8.57;0.83
20180125:1810;0.0;7.23;0.97
20180125:1910;0.0;6.44;1.03
20180125:2010;0.0;5.95;1.03
20180125:2110;0.0;5.83;0.97
20180125:2210;0.0;5.34;0.97
20180125:2310;0.0;4.14;1.17
20180126:0010;0.0;3.32;1.24
20180126:0110;0.0;3.13;1.24
20180126:0210;0.0;3.41;1.1
20180126:0310;0.0;3.25;1.24
20180126:0410;0.0;3.17;1.31
20180126:0510;0.0;3.31;1.38
20180126:0610;0.0;3.29;1.59
20180126:0710;5.64;4.02;1.59
20180126:0810;14.37;5.32;1.17
20180126:0910;21.49;7.38;1.03
20180126:1010;26.41;9.54;1.59
20180126:1110;28.56;10.44;2.07
20180126:1210;27.64;10.98;2.34
20180126:1310;23.79;11.22;2.41
20180126:1410;17.49;11.13;2.21
20180126:1510;9.34;10.59;1.72
20180126:1610;0.0;9.78;1.52
20180126:1710;0.0;8.86;1.38
20180126:1810;0.0;7.86;1.38
20180126:1910;0.0;7.65;1.1
20180126:2010;0.0;7.13;1.1
20180126:2110;0.0;6.53;1.24
20180126:2210;0.0;5.89;1.38
20180126:2310;0.0;5.22;1.45
20180127:0010;0.0;4.68;1.38
20180127:0110;0.0;3.85;1.45
20180127:0210;0.0;3.13;1.38
20180127:0310;0.0;2.63;1.31
20180127:0410;0.0;2.15;1.24
20180127:0510;0.0;1.69;1.24
20180127:0610;0.0;1.35;1.24
20180127:0710;5.79;3.4;0.97
20180127:0810;14.55;6.03;0.41
20180127:0910;21.7;8.59;0.34
20180127:1010;26.64;10.79;0.69
20180127:1110;28.81;11.77;1.03
20180127:1210;27.9;12.45;1.38
20180127:1310;24.05;12.81;1.52
20180127:1410;17.73;12.94;1.52
20180127:1510;9.58;12.38;1.24
20180127:1610;0.0;11.14;1.38
20180127:1710;0.0;9.11;1.24
20180127:1810;0.0;8.12;0.97
20180127:1910;0.0;8.13;0.9
20180127:2010;0.0;6.91;0.9
20180127:2110;0.0;5.17;1.1
20180127:2210;0.0;3.68;1.24
20180127:2310;0.0;2.64;1.24
20180128:0010;0.0;1.95;1.24
20180128:0110;0.0;1.65;1.24
20180128:0210;0.0;1.46;1.24
20180128:0310;0.0;1.34;1.24
20180128:0410;0.0;1.01;1.24
20180128:0510;0.0;0.86;1.17
20180128:0610;0.0;0.8;1.17
20180128:0710;5.96;1.72;0.97
20180128:0810;14.73;4.47;0.48
20180128:0910;21.91;7.72;0.34
20180128:1010;26.88;9.98;0.41
20180128:1110;29.07;11.55;0.48
20180128:1210;28.17;12.44;0.55
20180128:1310;24.31;12.88;0.69
20180128:1410;17.98;12.88;0.76
20180128:1510;9.81;12.3;0.62
20180128:1610;0.0;11.16;0.62
20180128:1710;0.0;10.59;0.55
20180128:1810;0.0;9.69;0.55
20180128:1910;0.0;8.53;0.69
20180128:2010;0.0;7.61;0.62
20180128:2110;0.0;6.62;0.62
20180128:2210;0.0;5.78;0.76
20180128:2310;0.0;5.18;0.9
20180129:0010;0.0;4.7;0.97
20180129:0110;0.0;4.31;1.03
20180129:0210;0.0;4.04;1.03
20180129:0310;0.0;3.91;0.97
20180129:0410;0.0;3.79;0.97
20180129:0510;0.0;3.67;0.9
20180129:0610;0.0;3.17;0.9
20180129:0710;6.12;3.01;0.9
20180129:0810;14.93;4.57;0.48
20180129:0910;22.13;8.03;0.34
20180129:1010;27.13;10.62;0.48
20180129:1110;29.33;12.11;0.69
20180129:1210;28.44;12.92;0.83
20180129:1310;24.57;13.28;0.9
20180129:1410;18.24;13.2;0.83
20180129:1510;10.05;12.53;0.48
20180129:1610;0.0;11.91;0.21
20180129:1710;0.0;10.92;0.21
20180129:1810;0.0;9.74;0.41
20180129:1910;0.0;8.83;0.34
20180129:2010;0.0;7.73;0.41
20180129:2110;0.0;6.56;0.62
20180129:2210;0.0;5.61;0.69
20180129:2310;0.0;4.9;0.76
20180130:0010;0.0;4.38;0.76
20180130:0110;0.0;3.86;0.76
20180130:0210;0.0;3.12;0.69
20180130:0310;0.0;2.44;0.76
20180130:0410;0.0;1.88;0.9
20180130:0510;0.0;1.46;0.9
20180130:0610;0.0;1.04;0.97
20180130:0710;6.3;0.89;0.76
20180130:0810;15.12;3.21;0.34
20180130:0910;22.36;6.6;0.34
20180130:1010;27.38;8.88;0.62
20180130:1110;29.6;9.91;0.55
20180130:1210;28.71;10.48;0.48
20180130:1310;24.84;10.62;0.55
20180130:1410;18.49;10.68;0.69
20180130:1510;10.29;10.26;0.69
20180130:1610;0.0;9.46;0.55
20180130:1710;0.0;8.82;0.21
20180130:1810;0.0;8.34;0.14
20180130:1910;0.0;7.98;0.34
20180130:2010;0.0;7.36;0.69
20180130:2110;0.0;6.85;0.69
20180130:2210;0.0;6.61;0.69
20180130:2310;0.0;6.15;0.76
20180131:0010;0.0;5.4;0.97
20180131:0110;0.0;5.05;0.97
20180131:0210;0.0;4.72;0.97
20180131:0310;0.0;4.33;0.97
20180131:0410;0.0;3.65;1.03
20180131:0510;0.0;3.07;1.17
20180131:0610;0.0;2.48;1.31
20180131:0710;6.48;2.51;1.31
20180131:0810;15.33;4.49;0.9
20180131:0910;22.59;7.73;1.03
20180131:1010;27.63;9.19;1.52
20180131:1110;29.88;10.18;1.79
